Date,open_price,high_price,low_price,last_price,vwap_price,change_prev_close_percentage,num_trades,volume,turnover
2024-01-19,208.00,208.00,204.00,208.00,206.35537190083,0.97,15,242.00000,49938.00
2024-01-18,208.00,208.00,206.00,206.00,207.70588235294,-2.83,5,204.00000,42372.00
2024-01-17,210.00,212.00,204.00,212.00,209.16470588235,0.00,8,170.00000,35558.00
2024-01-16,210.00,212.00,210.00,212.00,210.56655290102,0.95,27,586.00000,123392.00
2024-01-15,204.00,210.00,204.00,210.00,206.00757575758,2.94,20,264.00000,54386.00
2024-01-12,199.00,204.00,198.00,204.00,199.37872340426,2.51,10,235.00000,46854.00
2024-01-11,200.00,200.00,198.00,199.00,199.06410256410,-0.50,9,156.00000,31054.00
2024-01-10,200.00,204.00,200.00,200.00,201.27913279133,0.00,21,369.00000,74272.00
2024-01-09,193.00,206.00,193.00,200.00,201.04837430611,4.71,60,1261.00000,253522.00
2024-01-08,185.00,191.00,184.00,191.00,186.28635346756,3.24,27,447.00000,83270.00
2024-01-05,185.00,187.00,185.00,185.00,185.50343249428,0.00,11,437.00000,81065.00
2024-01-04,185.00,185.00,185.00,185.00,185.00000000000,0.00,8,152.00000,28120.00
2024-01-03,186.00,186.00,184.00,185.00,185.51987767584,-0.54,14,327.00000,60665.00
2024-01-02,186.00,186.00,186.00,186.00,186.00000000000,-0.53,1,10.00000,1860.00
2023-12-29,186.00,190.00,185.00,187.00,186.85304659498,0.54,14,279.00000,52132.00
2023-12-28,188.00,188.00,186.00,186.00,187.41176470588,-1.06,3,51.00000,9558.00
2023-12-27,191.00,191.00,188.00,188.00,189.53376205788,-2.08,13,311.00000,58945.00
2023-12-22,192.00,192.00,190.00,192.00,191.11428571429,-1.03,4,70.00000,13378.00
2023-12-21,194.00,194.00,194.00,194.00,194.00000000000,0.00,5,57.00000,11058.00
2023-12-20,189.00,194.00,189.00,194.00,192.11724137931,2.65,13,290.00000,55714.00
2023-12-19,191.00,191.00,189.00,189.00,189.57142857143,-1.05,3,35.00000,6635.00
2023-12-18,189.00,191.00,189.00,191.00,189.94736842105,2.14,3,57.00000,10827.00
2023-12-15,187.00,188.00,186.00,187.00,187.11779448622,1.08,31,399.00000,74660.00
2023-12-14,184.00,185.00,184.00,185.00,184.53333333333,1.09,2,15.00000,2768.00
2023-12-13,183.00,183.00,183.00,183.00,183.00000000000,-1.08,2,37.00000,6771.00
2023-12-12,185.00,185.00,185.00,185.00,185.00000000000,-1.07,2,40.00000,7400.00
2023-12-11,186.00,188.00,185.00,187.00,185.79111111111,0.54,9,225.00000,41803.00
2023-12-08,186.00,186.00,186.00,186.00,186.00000000000,0.54,3,48.00000,8928.00
2023-12-07,186.00,186.00,185.00,185.00,185.39541547278,0.00,13,349.00000,64703.00
2023-12-06,186.00,186.00,185.00,185.00,185.50925925926,0.00,7,108.00000,20035.00
2023-12-05,185.00,185.00,185.00,185.00,185.00000000000,-1.07,10,1162.00000,214970.00
2023-12-04,184.00,187.00,184.00,187.00,184.99482312338,1.08,5,1159.00000,214409.00
2023-12-01,183.00,185.00,183.00,185.00,184.38888888889,-0.54,3,36.00000,6638.00
2023-11-30,185.00,186.00,184.00,186.00,184.37704918033,0.54,7,61.00000,11247.00
2023-11-29,186.00,186.00,185.00,185.00,185.50596252129,-0.54,17,587.00000,108892.00
2023-11-28,186.00,186.00,186.00,186.00,186.00000000000,0.54,2,46.00000,8556.00
2023-11-27,187.00,187.00,185.00,185.00,185.67924528302,0.54,8,265.00000,49205.00
2023-11-27,,185.00,185.00,185.00,185.00000000000,,1,3705.00000,685425.00
2023-11-24,187.00,187.00,184.00,184.00,185.56637168142,-1.08,9,113.00000,20969.00
2023-11-23,190.00,190.00,186.00,186.00,187.73913043478,-1.06,7,115.00000,21590.00
2023-11-22,188.00,190.00,187.00,188.00,188.16608996540,0.00,14,289.00000,54380.00
2023-11-21,189.00,189.00,187.00,188.00,188.26168224299,-0.53,5,107.00000,20144.00
2023-11-20,186.00,191.00,186.00,189.00,188.16959064327,2.72,15,171.00000,32177.00
2023-11-17,183.00,185.00,182.00,184.00,182.42920353982,0.55,9,226.00000,41229.00
2023-11-16,185.00,185.00,183.00,183.00,184.17041800643,-1.61,18,311.00000,57277.00
2023-11-15,187.00,187.00,186.00,186.00,186.37500000000,-1.06,2,16.00000,2982.00
2023-11-14,188.00,188.00,188.00,188.00,188.00000000000,1.08,5,150.00000,28200.00
2023-11-13,187.00,188.00,186.00,186.00,186.63953488372,-0.53,9,172.00000,32102.00
2023-11-10,189.00,189.00,187.00,187.00,187.56097560976,-1.06,8,123.00000,23070.00
2023-11-09,190.00,190.00,186.00,189.00,188.73593073593,-0.53,14,231.00000,43598.00
2023-11-08,195.00,195.00,190.00,190.00,190.75336322870,-2.06,15,223.00000,42538.00
2023-11-07,194.00,195.00,193.00,194.00,194.00000000000,1.04,12,331.00000,64214.00
2023-11-06,191.00,197.00,191.00,192.00,194.18545994065,1.05,32,674.00000,130881.00
2023-11-03,189.00,190.00,187.00,190.00,189.01675977654,0.53,16,358.00000,67668.00
2023-11-02,181.00,191.00,181.00,189.00,186.69144981413,1.61,16,269.00000,50220.00
2023-10-31,181.00,187.00,180.00,186.00,180.94980988593,3.33,22,1315.00000,237949.00
2023-10-30,170.00,184.00,170.00,180.00,179.47085889571,6.51,25,652.00000,117015.00
2023-10-26,169.00,169.00,169.00,169.00,169.00000000000,0.00,2,8.00000,1352.00
2023-10-25,168.00,169.00,167.00,169.00,168.82000000000,0.60,4,50.00000,8441.00
2023-10-24,168.00,168.00,168.00,168.00,168.00000000000,-0.59,1,7.00000,1176.00
2023-10-23,168.00,169.00,168.00,169.00,168.52000000000,1.20,3,25.00000,4213.00
